Code_Postal,zone
22390,Other
22400,Other
22400,Couronne_GP
22410,Couronne_GP
22420,Other
22420,Couronne_GP
22430,Other
22440,Couronne_GP
22440,GP
22450,Other
22450,Couronne_GP
22450,GP
22460,Other
22470,Other
22480,Other
22490,Other
22500,Other
22510,Other
22530,Other
22540,Couronne_GP
22540,Other
22550,Other
22560,Couronne_GP
22560,GP
22570,Other
22580,Other
22590,Couronne_GP
22600,Other
22610,Other
22620,Other
22630,Other
22640,Other
22650,Other
22660,GP
22680,Couronne_GP
22690,Other
22700,GP
22710,GP
22720,Other
22720,Couronne_GP
22730,GP
22740,Other
22750,Other
22770,Other
22780,Other
22800,Couronne_GP
22810,Other
22820,Other
22830,Couronne_GP
22860,Other
22870,Other
22930,Other
22940,Couronne_GP
22950,GP
22960,Couronne_GP
22970,Couronne_GP
22970,GP
22980,Other
23000,Couronne_GP
23000,GP
23100,Other
23110,Other
23120,Other
23130,Other
23140,Other
23140,Couronne_GP
23150,Other
23150,Couronne_GP
23160,Other
23170,Other
23190,Other
23200,Other
23210,Other
23220,Other
23220,Couronne_GP
23230,Other
23240,Other
23250,Other
23250,Couronne_GP
23260,Other
23270,Other
23290,Other
23300,Other
23320,Couronne_GP
23340,Other
23350,Other
23360,Other
23380,Couronne_GP
23400,Other
23420,Other
23430,Other
23430,Couronne_GP
23450,Other
23460,Other
23480,Other
23500,Other
23600,Other
23700,Other
23800,Other
24000,GP
24100,GP
24110,Other
24110,Couronne_GP
24120,Other
24120,GP
24120,Couronne_GP
24130,GP
24130,Couronne_GP
24140,Other
24140,Couronne_GP
24150,Other
24150,Couronne_GP
24160,Other
24170,Other
24190,Other
24200,Other
24210,Other
24210,Couronne_GP
24220,Other
24230,Other
24230,GP
24240,Couronne_GP
24240,Other
24250,Other
24260,Other
24270,Other
24290,Other
24300,Other
24310,Other
24310,Couronne_GP
24320,Other
24330,Couronne_GP
24340,Other
24350,Other
24350,Couronne_GP
24360,Other
24370,Other
24380,Other
24380,Couronne_GP
24390,Other
24400,Other
24410,Other
24420,Other
24420,Couronne_GP
24430,GP
24430,Couronne_GP
24440,Other
24450,Other
24460,Couronne_GP
24470,Other
24480,Other
24490,Other
24500,Couronne_GP
24500,Other
24510,Other
24520,GP
24520,Couronne_GP
24530,Other
24540,Other
24550,Other
24560,Other
24560,Couronne_GP
24570,Other
24580,Other
24590,Other
24600,Other
24610,Other
24620,Other
24630,Other
24640,Other
24640,Couronne_GP
24650,GP
24660,GP
24660,Couronne_GP
24680,GP
24700,Other
24750,GP
24750,Couronne_GP
24800,Other
25000,GP
25110,Other
25110,Couronne_GP
25111,Other
25113,Couronne_GP
25115,Couronne_GP
25120,Other
25130,Other
25140,Other
25150,Couronne_GP
25160,Other
25160,Couronne_GP
25170,Couronne_GP
25190,Other
25190,Couronne_GP
25200,GP
25210,Other
25220,Couronne_GP
25220,GP
25230,Couronne_GP
25230,GP
25240,Other
25250,Couronne_GP
25250,Other
25260,Couronne_GP
25270,Other
25270,Couronne_GP
25290,Other
25290,Couronne_GP
25300,Other
25300,Couronne_GP
25300,GP
25310,Couronne_GP
25310,GP
25320,Couronne_GP
25330,Other
25330,Couronne_GP
25340,Other
25340,Couronne_GP
25350,GP
25360,Other
25360,Couronne_GP
25370,Other
25380,Other
25390,Other
25400,GP
25410,Couronne_GP
25420,Couronne_GP
25420,GP
25430,Other
25440,Couronne_GP
25440,Other
25450,Other
25460,GP
25470,Other
25480,GP
25490,Couronne_GP
25490,Other
25500,Other
25510,Other
25520,Other
