"zipcode","urbanity","region"
85670,3,"reste"
85540,3,"reste"
85680,3,"reste"
85500,2,"reste"
29259,3,"reste"
29770,3,"reste"
29620,3,"reste"
29280,3,"reste"
29241,3,"reste"
29560,3,"reste"
29550,3,"reste"
29233,3,"reste"
29360,3,"reste"
29670,3,"reste"
29730,2,"reste"
29650,3,"reste"
29600,2,"reste"
29217,3,"reste"
29500,1,"reste"
38510,3,"sud-est"
38450,1,"sud-est"
73370,3,"sud-est"
73570,3,"sud-est"
73190,1,"sud-est"
73390,3,"sud-est"
73670,3,"sud-est"
73480,3,"sud-est"
24330,3,"sud-ouest"
24170,3,"sud-ouest"
24340,3,"sud-ouest"
24420,3,"sud-ouest"
24200,2,"sud-ouest"
24490,3,"sud-ouest"
24380,3,"sud-ouest"
24320,3,"sud-ouest"
24190,3,"sud-ouest"
24520,3,"sud-ouest"
24500,3,"sud-ouest"
33410,3,"sud-ouest"
33150,1,"sud-ouest"
33240,2,"sud-ouest"
33260,2,"sud-ouest"
33340,3,"sud-ouest"
33124,3,"sud-ouest"
59221,2,"nord"
59192,1,"nord"
59181,3,"nord"
59229,1,"nord"
59260,1,"nord"
59182,2,"nord"
59279,1,"nord"
69125,2,"sud-est"
69126,2,"sud-est"
76970,3,"reste"
76690,3,"reste"
76870,3,"reste"
76570,3,"reste"
76950,3,"reste"
76600,1,"reste"
76610,1,"reste"
76520,1,"reste"
76810,3,"reste"
76710,2,"reste"
76560,3,"reste"
76550,3,"reste"
76500,1,"reste"
73530,3,"sud-est"
48100,3,"sud-ouest"
48220,3,"sud-ouest"
48300,3,"sud-ouest"
48600,3,"sud-ouest"
45170,3,"reste"
51370,2,"est"
51700,3,"est"
51450,1,"est"
51400,3,"est"
95670,2,"idf"
95630,2,"idf"
95580,1,"idf"
95480,1,"idf"
51240,3,"est"
54113,3,"est"
54136,2,"est"
54230,2,"est"
54280,3,"est"
15300,3,"sud-est"
15200,3,"sud-est"
15240,3,"sud-est"
97620,3,"outre-mer"
97630,3,"outre-mer"
2680,1,"sud-est"
2820,3,"reste"
2340,3,"sud-ouest"
2570,3,"est"
2500,3,"est"
2290,3,"reste"
2590,3,"est"
30190,1,"sud-est"
30200,2,"sud-est"
30270,3,"sud-est"
30114,3,"sud-est"
20160,3,"reste"
20151,3,"reste"
20152,3,"reste"
30380,2,"sud-est"
30670,3,"sud-est"
2300,2,"sud-ouest"
2450,3,"sud-ouest"
30470,3,"sud-est"
30960,3,"sud-est"
30620,1,"sud-est"
30740,3,"sud-est"
30390,3,"sud-est"
30750,3,"sud-est"
30900,1,"sud-est"
30340,2,"sud-est"
34230,3,"sud-est"
34210,3,"sud-est"
34360,3,"sud-est"
34410,1,"sud-est"
34510,3,"sud-est"
34330,3,"sud-est"
34490,3,"sud-est"
34520,3,"sud-est"
34530,3,"sud-est"
34130,2,"sud-est"
67360,3,"est"
2760,3,"reste"
17670,3,"sud-ouest"
16710,1,"sud-ouest"
16600,1,"sud-ouest"
17870,3,"sud-ouest"
17310,3,"sud-ouest"
17540,3,"sud-ouest"
17580,2,"sud-ouest"
17560,3,"sud-ouest"
17940,3,"sud-ouest"
20128,3,"reste"
20114,3,"reste"
20123,3,"reste"
20110,3,"reste"
20125,3,"reste"
20144,3,"reste"
30130,2,"sud-est"
30131,3,"sud-est"
67118,1,"est"
67113,1,"est"
67116,1,"est"
67201,1,"est"
67260,3,"est"
80510,3,"nord"
80650,3,"nord"
80350,2,"nord"
80430,3,"nord"
80400,3,"nord"
80320,3,"nord"
80540,3,"nord"
80740,3,"nord"
80140,3,"nord"
67540,1,"est"
67390,3,"est"
67650,3,"est"
67420,3,"est"
67300,1,"est"
67370,3,"est"
67550,1,"est"
68127,3,"est"
68410,2,"est"
68130,3,"est"
68290,3,"est"
68121,3,"est"
68330,1,"est"
95300,2,"idf"
95120,1,"idf"
95280,1,"idf"
95310,1,"idf"
93600,1,"idf"
93140,1,"idf"
62850,3,"nord"
62730,1,"nord"
62930,1,"nord"
62940,2,"nord"
62910,3,"nord"
62860,3,"nord"
77760,3,"idf"
80080,1,"nord"
78680,2,"idf"
78520,1,"idf"
77930,3,"idf"
78280,1,"idf"
78350,1,"idf"
78430,1,"idf"
79120,3,"sud-ouest"
78490,3,"idf"
78360,1,"idf"
78130,2,"idf"
77920,2,"idf"
78230,1,"idf"
79700,3,"sud-ouest"
78890,3,"idf"
79340,3,"sud-ouest"
79460,1,"sud-ouest"
78940,3,"idf"
78840,1,"idf"
78980,3,"idf"
79260,3,"sud-ouest"
79450,3,"sud-ouest"
78960,1,"idf"
79380,3,"sud-ouest"
79360,3,"sud-ouest"
86510,3,"sud-ouest"
86270,3,"sud-ouest"
86170,3,"sud-ouest"
86000,1,"sud-ouest"
86480,3,"sud-ouest"
86330,3,"sud-ouest"
86380,3,"sud-ouest"
86410,3,"sud-ouest"
91580,2,"idf"
91760,2,"idf"
91310,1,"idf"
91160,1,"idf"
91460,1,"idf"
91490,3,"idf"
91390,1,"idf"
93800,1,"idf"
93220,1,"idf"
93460,1,"idf"
93190,1,"idf"
93310,1,"idf"
95180,1,"idf"
94140,1,"idf"
94110,1,"idf"
94220,1,"idf"
94520,1,"idf"
94170,1,"idf"
75012,1,"idf"
94160,1,"idf"
94100,1,"idf"
94210,1,"idf"
94370,1,"idf"
94350,1,"idf"
77830,3,"idf"
77910,1,"idf"
77890,3,"idf"
78770,3,"idf"
78740,2,"idf"
78140,2,"idf"
78450,1,"idf"
78650,2,"idf"
79000,1,"sud-ouest"
78530,1,"idf"
78120,3,"idf"
78700,1,"idf"
78121,3,"idf"
84420,3,"sud-est"
84440,3,"sud-est"
84400,3,"sud-est"
84490,3,"sud-est"
83920,3,"sud-est"
84480,3,"sud-est"
84220,3,"sud-est"
84580,3,"sud-est"
84100,2,"sud-est"
91480,1,"idf"
91740,3,"idf"
91270,1,"idf"
93100,1,"idf"
91200,1,"idf"
91870,3,"idf"
91220,1,"idf"
91640,3,"idf"
97122,3,"outre-mer"
97356,3,"outre-mer"
97100,3,"outre-mer"
97127,3,"outre-mer"
97412,3,"outre-mer"
97110,1,"outre-mer"
97119,3,"outre-mer"
97353,3,"outre-mer"
97300,3,"outre-mer"
83480,2,"sud-est"
83210,2,"sud-est"
83000,1,"sud-est"
83143,2,"sud-est"
83550,2,"sud-est"
83820,3,"sud-est"
87700,3,"sud-ouest"
83111,3,"sud-est"
87250,3,"sud-ouest"
83240,2,"sud-est"
83170,3,"sud-est"
83300,3,"sud-est"
97436,3,"outre-mer"
97421,3,"outre-mer"
97422,3,"outre-mer"
97438,1,"outre-mer"
97441,1,"outre-mer"
97433,3,"outre-mer"
97426,3,"outre-mer"
83260,1,"sud-est"
87220,1,"sud-ouest"
83136,3,"sud-est"
83590,3,"sud-est"
87170,1,"sud-ouest"
87890,3,"sud-ouest"
87570,1,"sud-ouest"
87260,3,"sud-ouest"
87160,3,"sud-ouest"
87200,2,"sud-ouest"
87370,3,"sud-ouest"
87600,3,"sud-ouest"
97200,1,"outre-mer"
97225,3,"outre-mer"
97215,3,"outre-mer"
97231,3,"outre-mer"
97212,1,"outre-mer"
97226,3,"outre-mer"
97222,3,"outre-mer"
31430,3,"sud-ouest"
28260,3,"reste"
34760,1,"sud-est"
34725,3,"sud-est"
54270,1,"est"
54122,3,"est"
66230,3,"sud-est"
66170,3,"sud-est"
66250,1,"sud-est"
66220,3,"sud-est"
66280,1,"sud-est"
66270,1,"sud-est"
66400,3,"sud-est"
66350,1,"sud-est"
66540,1,"sud-est"
66420,1,"sud-est"
68720,3,"est"
68650,3,"est"
68960,3,"est"
68590,3,"est"
68770,2,"est"
68580,3,"est"
68750,3,"est"
68540,1,"est"
68920,1,"est"
68760,3,"est"
68560,3,"est"
95750,3,"idf"
34710,3,"sud-est"
34740,1,"sud-est"
31130,1,"sud-ouest"
31670,2,"sud-ouest"
31180,2,"sud-ouest"
31500,1,"sud-ouest"
31170,1,"sud-ouest"
31810,3,"sud-ouest"
31290,3,"sud-ouest"
31120,2,"sud-ouest"
36110,3,"reste"
36250,1,"reste"
36330,1,"reste"
36100,3,"reste"
36500,3,"reste"
36000,1,"reste"
41500,3,"reste"
41400,3,"reste"
41320,3,"reste"
1280,2,"sud-ouest"
1370,3,"sud-est"
1160,3,"sud-est"
1350,3,"sud-est"
1470,3,"reste"
1360,3,"sud-est"
